Grave,0.5,0.4,0.55,0.4,0.6,0.45,0.5,0.45,0.55,0.45,0.45,0.6
Jaina,0.6,0.5,0.6,0.45,0.65,0.45,0.5,0.5,0.6,0.65,0.45,0.45
Midori,0.45,0.4,0.5,0.5,0.6,0.45,0.4,0.4,0.4,0.4,0.45,0.65
Setsuki,0.6,0.55,0.5,0.5,0.55,0.4,0.45,0.5,0.6,0.6,0.65,0.6
Rook,0.4,0.35,0.4,0.45,0.5,0.4,0.55,0.3,0.3,0.3,0.5,0.5
DeGrey,0.55,0.55,0.55,0.6,0.6,0.5,0.55,0.45,0.5,0.5,0.6,0.55
Valerie,0.5,0.5,0.6,0.55,0.45,0.45,0.5,0.4,0.65,0.6,0.65,0.5
Geiger,0.55,0.5,0.6,0.5,0.7,0.55,0.6,0.5,0.5,0.5,0.4,0.6
Lum,0.45,0.4,0.6,0.4,0.7,0.5,0.35,0.5,0.5,0.4,0.5,0.5
Argagarg,0.55,0.35,0.6,0.4,0.7,0.5,0.4,0.5,0.6,0.5,0.5,0.25
Quince,0.55,0.55,0.55,0.35,0.5,0.4,0.35,0.6,0.5,0.5,0.5,0.5
Onimaru,0.4,0.55,0.35,0.4,0.5,0.45,0.5,0.4,0.5,0.75,0.5,0.5
